bibnum,title,author,isbn,publicationyear,publisher,itemtype,itemcollection,floatingitem,itemlocation,reportdate,itemcount,subject_1,subject_2,subject_3,subject_4,subject_5,subject_6,subject_7,subject_8,subject_9,subject_10,subject_11,subject_12,subject_13,subject_14,subject_15,subject_16,subject_17,subject_18,subject_19,subject_20,subject_21,subject_22
343545,News bulletin.,"American Iris Society. Region no. 13, Washington, Oregon and British Columbia.",,,,arbk,cs8r,NA,cen,2018-07-01T00:00:00.000,3,American Iris Society Region no 13 Washington Oregon and British Columbia Periodicals, Irises Plants Periodicals,,,,,,,,,,,,,,,,,,,,
3272535,Born in the deep woods,Red Yarn,,[2017],"Red Yarn Productions,",jccd,cccd,NA,cen,2018-08-01T00:00:00.000,1,Childrens songs Juvenile sound recordings, Folk songs English United States Juvenile sound recordings, Songs, Childrens sound recordings,,,,,,,,,,,,,,,,,,
1917267,The mightiest heart,"Cullen, Lynn","0803722923, 0803722931",[1998],"Dial Books for Young Readers,",jcbk,ccfft,NA,cen,2018-12-01T00:00:00.000,1,Folklore Wales Juvenile literature,,,,,,,,,,,,,,,,,,,,,
250255,Famous families of Massachusetts,"Crawford, Mary Caroline, 1874-1932",,1930,"Little, Brown, and company,",arbk,caref,NA,cen,2018-05-01T00:00:00.000,2,Massachusetts Genealogy, Massachusetts Biography,,,,,,,,,,,,,,,,,,,,
2858090,Una noche mágica,"Kleypas, Lisa","8466648275, 9788466648271",[2011],"Vergara/Grupo Zeta,",acbk,naln,NA,spa,2018-03-01T00:00:00.000,1,Family secrets Fiction, Brothers and sisters Fiction, San Juan Island Wash Fiction, Christmas fiction, Love stories, Domestic fiction,,,,,,,,,,,,,,,,
3110696,Arata : the legend. 23,"Watase, Yuu, 1970-","1421579057, 9781421579054",[2015],"VIZ Media,",acbk,cycomic,NA,cen,2018-04-01T00:00:00.000,1,Swordsmen Comic books strips etc, Comic books strips etc Japan Translations into English, Fantasy comics, Graphic novels, Comic books strips etc,,,,,,,,,,,,,,,,,
2394881,"Washington Territory, 1885 [cartographic material]",,,[2003],"Secretary of State, Washington State Archives,",armap,caseamp,NA,cen,2018-06-01T00:00:00.000,1,Washington Territory History Maps,,,,,,,,,,,,,,,,,,,,,
1847135,First rhapsody (Folk dances) for violin and orchestra.,"Bartók, Béla, 1881-1945",,[1952],"Boosey & Hawkes,",acmus,camus,NA,cen,2018-08-01T00:00:00.000,2,Violin with orchestra Scores,,,,,,,,,,,,,,,,,,,,,
3358107,Little house on the prairie. Season seven,an NBC production in association with Ed Friendly.,,[2015],"NBC Studios,",jcdvd,ncdvd,Floating,wts,2018-07-01T00:00:00.000,1,Wilder Laura Ingalls 1867 1957 Family Juvenile drama, Frontier and pioneer life Minnesota Juvenile drama, Families Juvenile drama, Pioneer children Juvenile drama, Ingalls family Juvenile drama, Walnut Grove Minn Juvenile drama, Minnesota 19th century Juvenile drama, Television series, Childrens television programs, Biographical television programs, Historical television programs, Fiction television programs, Video recordings for the hearing impaired,,,,,,,,,
1877663,Infamous angel,"DeMent, Iris",,[1992],"Warner Bros. Records,",accd,nacd,Floating,wal,2018-03-01T00:00:00.000,1,Country music 1991 2000,,,,,,,,,,,,,,,,,,,,,
3143274,The Brimstone deception : a SPI Files novel,"Shearin, Lisa","0425266931, 9780425266939",2016,"Ace Books,",acbk,nafic,NA,bal,2018-08-01T00:00:00.000,1,Psychics Fiction, Designer drugs Fiction, Occult fiction, Fantasy fiction,,,,,,,,,,,,,,,,,,
2645479,Storms,"Busch, Miriam","1426303947, 1426303955, 9781426303944, 9781426303951",[2009],"National Geographic,",jcbk,ncenf,NA,dth,2018-05-01T00:00:00.000,1,Storms Juvenile literature, Weather Juvenile literature,,,,,,,,,,,,,,,,,,,,
2665253,The talent show,"Gutman, Dan","1416990038, 9781416990031",2010,"Simon & Schuster Books for Young Readers,",jcbk,ncfic,NA,bal,2018-01-01T00:00:00.000,1,Talent shows Juvenile fiction, Tornadoes Juvenile fiction, Community life Kansas Juvenile fiction, Kansas Juvenile fiction,,,,,,,,,,,,,,,,,,
2945244,The job description handbook,"Mader-Clark, Marjorie","141331855X, 9781413318555",[2013],"Nolo,",acbk,canf,NA,cen,2018-05-01T00:00:00.000,2,Job descriptions Handbooks manuals etc, Personnel management Handbooks manuals etc,,,,,,,,,,,,,,,,,,,,
